CustomerID,CompanyName,ContactName,Address,City,Phone
C001,化工企业A,Contact-C001,Region-Address-C001,City-1,000-00000000
C002,化工企业B,Contact-C002,Region-Address-C002,City-1,000-00000000
C003,化工企业C,Contact-C003,Region-Address-C003,City-1,000-00000000
C004,化工企业D,Contact-C004,Region-Address-C004,City-1,000-00000000
C005,化工企业E,Contact-C005,Region-Address-C005,City-1,000-00000000
C006,化工企业F,Contact-C006,Region-Address-C006,City-1,000-00000000
C007,化工企业G,Contact-C007,Region-Address-C007,City-1,000-00000000
C008,化工企业H,Contact-C008,Region-Address-C008,City-1,000-00000000
C009,化工企业I,Contact-C009,Region-Address-C009,City-1,000-00000000
C010,炼化企业A,Contact-C010,Region-Address-C010,City-1,000-00000000
C011,地区A化工聚合,Contact-C011,Region-Address-C011,City-1,000-00000000
C012,地区A产业园1,Contact-C012,Region-Address-C012,City-1,000-00000000
C013,地区A产业园2,Contact-C013,Region-Address-C013,City-1,000-00000000
C014,地区A产业园3,Contact-C014,Region-Address-C014,City-1,000-00000000
C015,地区B聚合,Contact-C015,Region-Address-C015,City-1,000-00000000
C016,地区C聚合,Contact-C016,Region-Address-C016,City-1,000-00000000
C017,地区D聚合,Contact-C017,Region-Address-C017,City-1,000-00000000
C018,地区E聚合,Contact-C018,Region-Address-C018,City-1,000-00000000
C019,地区F聚合,Contact-C019,Region-Address-C019,City-1,000-00000000
C020,全国聚合,Contact-C020,Region-Address-C020,City-1,000-00000000
C021,石化企业A,Contact-C021,Region-Address-C021,City-1,000-00000000
C022,光伏企业A,Contact-C022,Region-Address-C022,City-1,000-00000000
C023,煤炭企业A,Contact-C023,Region-Address-C023,City-1,000-00000000
